['evaluation_performance_1.py', 'yeast1']
       nu    gamma  precision    recall        f1
114  0.10   0.0030   0.259740  0.372960  0.306220
115  0.35   0.0003   0.281250  0.335664  0.306057
116  0.35   0.0100   0.281250  0.335664  0.306057
117  0.30   0.0030   0.279383  0.337995  0.305907
118  0.35   3.0000   0.274583  0.344988  0.305785
119  0.30  30.0000   0.291139  0.321678  0.305648
120  0.25   0.0003   0.278846  0.337995  0.305585
121  0.25   0.0010   0.278846  0.337995  0.305585
122  0.25   0.0030   0.278846  0.337995  0.305585
123  0.30   1.0000   0.290870  0.319347  0.304444
124  0.45   0.0001   0.280079  0.331002  0.303419
125  0.20   0.0001   0.274809  0.335664  0.302204
126  0.85   0.0300   0.274809  0.335664  0.302204
127  0.20   0.0003   0.274286  0.335664  0.301887
128  0.30   0.3000   0.288136  0.317016  0.301887
129  0.30   3.0000   0.288136  0.317016  0.301887
130  0.45   0.0010   0.278656  0.328671  0.301604
131  0.45   0.0030   0.278656  0.328671  0.301604
132  0.45   0.0100   0.278656  0.328671  0.301604
133  0.65   0.0030   0.278656  0.328671  0.301604
134  0.20   0.0010   0.273764  0.335664  0.301571
135  0.20   0.0030   0.273764  0.335664  0.301571
136  0.55   0.0003   0.277778  0.326340  0.300107
137  0.60   0.0001   0.277778  0.326340  0.300107
138  0.60   0.0003   0.277778  0.326340  0.300107
139  0.45   0.0003   0.277228  0.326340  0.299786
140  0.55   0.0010   0.277228  0.326340  0.299786
141  0.55   0.0030   0.277228  0.326340  0.299786
142  0.55   0.0100   0.277228  0.326340  0.299786
143  0.60   0.0010   0.277228  0.326340  0.299786
144  0.60   0.0030   0.276680  0.326340  0.299465
145  0.65   0.0001   0.276680  0.326340  0.299465
146  0.65   0.0003   0.276680  0.326340  0.299465
147  0.65   0.0010   0.276680  0.326340  0.299465
148  0.50   0.0001   0.275794  0.324009  0.297964
149  0.50   0.0003   0.275794  0.324009  0.297964
150  0.50   0.0010   0.275794  0.324009  0.297964
151  0.50   0.0030   0.275794  0.324009  0.297964
152  0.50   0.0100   0.275794  0.324009  0.297964
153  0.55   0.0001   0.275248  0.324009  0.297645
154  0.80   0.0001   0.274704  0.324009  0.297326
155  0.80   0.0003   0.274704  0.324009  0.297326
156  0.80   0.0010   0.274704  0.324009  0.297326
157  0.80   0.0100   0.274704  0.324009  0.297326
158  0.85   0.0001   0.274162  0.324009  0.297009
159  0.85   0.0003   0.274162  0.324009  0.297009
160  0.85   0.0010   0.274162  0.324009  0.297009
161  0.85   0.0100   0.274162  0.324009  0.297009
162  0.70   0.0001   0.274354  0.321678  0.296137
163  0.70   0.0003   0.274354  0.321678  0.296137
164  0.70   0.0010   0.273810  0.321678  0.295820
165  0.75   0.0001   0.273810  0.321678  0.295820
166  0.75   0.0003   0.273810  0.321678  0.295820
167  0.75   0.0010   0.273810  0.321678  0.295820
168  0.10   0.0003   0.265799  0.333333  0.295760
169  0.70   0.0030   0.273267  0.321678  0.295503
170  0.75   0.0030   0.273267  0.321678  0.295503
171  0.10   0.0010   0.265306  0.333333  0.295455
172  0.90   0.0001   0.272727  0.321678  0.295187
173  0.90   0.0003   0.272727  0.321678  0.295187
174  0.90   0.0010   0.272727  0.321678  0.295187
175  0.90   0.0100   0.272727  0.321678  0.295187
176  0.90   0.0300   0.272727  0.321678  0.295187
177  0.15   0.0300   0.270428  0.324009  0.294804
178  0.75   0.0300   0.270428  0.324009  0.294804
179  0.15   0.0001   0.265537  0.328671  0.293750
180  0.15   0.0010   0.265537  0.328671  0.293750
181  0.15   0.0030   0.265537  0.328671  0.293750
182  0.15   0.0003   0.265038  0.328671  0.293444
183  0.10   0.0001   0.263451  0.331002  0.293388
184  0.95   0.0001   0.270751  0.319347  0.293048
185  0.95   0.0003   0.270751  0.319347  0.293048
186  0.95   0.0030   0.270751  0.319347  0.293048
187  0.95   0.0100   0.270751  0.319347  0.293048
188  0.30  10.0000   0.279570  0.303030  0.290828
189  0.20   0.0300   0.276316  0.293706  0.284746
190  0.05   0.0001   0.238859  0.312354  0.270707
191  0.05   0.0010   0.238859  0.312354  0.270707
192  0.05   0.0003   0.237925  0.310023  0.269231
193  0.25   0.1000   0.275184  0.261072  0.267943
194  0.25  30.0000   0.286486  0.247086  0.265332
195  0.25   3.0000   0.272953  0.256410  0.264423
196  0.25   1.0000   0.273869  0.254079  0.263603
197  0.25  10.0000   0.273418  0.251748  0.262136
198  0.25   0.3000   0.269036  0.247086  0.257594
199  0.20   0.1000   0.257653  0.235431  0.246041
200  0.20  30.0000   0.277778  0.209790  0.239044
201  0.10   0.0300   0.242744  0.214452  0.227723
202  0.20   0.3000   0.258258  0.200466  0.225722
203  0.20  10.0000   0.259939  0.198135  0.224868
204  0.20   1.0000   0.257053  0.191142  0.219251
205  0.20   3.0000   0.250774  0.188811  0.215426
206  0.15  30.0000   0.278884  0.163170  0.205882
207  0.15   0.1000   0.251748  0.167832  0.201399
208  0.15   3.0000   0.246964  0.142191  0.180473
209  0.10   0.0100   0.227758  0.149184  0.180282
210  0.15  10.0000   0.255411  0.137529  0.178788
211  0.15   1.0000   0.240964  0.139860  0.176991
212  0.15   0.3000   0.237500  0.132867  0.170404
213  0.10  30.0000   0.272251  0.121212  0.167742
214  0.05  30.0000   0.321918  0.109557  0.163478
215  0.10  10.0000   0.268293  0.102564  0.148398
216  0.05   0.0030   0.193916  0.118881  0.147399
217  0.10   0.3000   0.256250  0.095571  0.139219
218  0.10   0.1000   0.254902  0.090909  0.134021
219  0.10   3.0000   0.253247  0.090909  0.133791
220  0.10   1.0000   0.251613  0.090909  0.133562
221  0.05   0.0100   0.216216  0.093240  0.130293
222  0.05  10.0000   0.297872  0.065268  0.107075
223  0.05   0.1000   0.311688  0.055944  0.094862
224  0.05   1.0000   0.307692  0.055944  0.094675
225  0.05   0.3000   0.303797  0.055944  0.094488
226  0.05   0.0300   0.300000  0.055944  0.094303
227  0.05   3.0000   0.296296  0.055944  0.094118
nu_gamma_f1: [0.9500000000000001, 30, 0.44336043360433608]
Confusion matrix:
Prediction  -1     1
Target              
-1          48  1007
 1          20   409
Confusion matrix:
[[  48 1007]
 [  20  409]]
precision: 0.28884180791, recall: 0.95337995338, f1-score: 0.443360433604

*** PROFILER RESULTS ***
incremental_ocsvm (evaluation_performance_1.py:185)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
cvxopt_ocsvm (evaluation_performance_1.py:181)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
sklearn_ocsvm (evaluation_performance_1.py:177)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)


