['evaluation_performance_1.py', 'pima']
       nu    gamma  precision    recall        f1
154  0.70   0.0030   0.419512  0.320896  0.363636
155  0.75   0.0001   0.419512  0.320896  0.363636
156  0.80   0.0001   0.419512  0.320896  0.363636
157  0.80   0.0003   0.419512  0.320896  0.363636
158  0.85   0.0003   0.419512  0.320896  0.363636
159  0.85   0.0010   0.419512  0.320896  0.363636
160  0.35   3.0000   0.374502  0.350746  0.362235
161  0.45   0.0001   0.378049  0.347015  0.361868
162  0.45   0.0003   0.378049  0.347015  0.361868
163  0.45   0.0010   0.378049  0.347015  0.361868
164  0.35  10.0000   0.373016  0.350746  0.361538
165  0.45   0.0030   0.376518  0.347015  0.361165
166  0.90   0.0001   0.418719  0.317164  0.360934
167  0.90   0.0003   0.418719  0.317164  0.360934
168  0.90   0.0010   0.418719  0.317164  0.360934
169  0.90   0.0030   0.418719  0.317164  0.360934
170  0.90   0.0100   0.418719  0.317164  0.360934
171  0.30   0.1000   0.375000  0.347015  0.360465
172  0.80   0.0010   0.416667  0.317164  0.360169
173  0.85   0.0001   0.416667  0.317164  0.360169
174  0.35  30.0000   0.353791  0.365672  0.359633
175  0.65   0.0003   0.414634  0.317164  0.359408
176  0.65   0.0010   0.414634  0.317164  0.359408
177  0.65   0.0030   0.414634  0.317164  0.359408
178  0.65   0.0001   0.412621  0.317164  0.358650
179  0.25   0.0300   0.365759  0.350746  0.358095
180  0.60   0.0003   0.408654  0.317164  0.357143
181  0.60   0.0010   0.408654  0.317164  0.357143
182  0.60   0.0030   0.406699  0.317164  0.356394
183  0.60   0.0001   0.405797  0.313433  0.353684
184  0.30  10.0000   0.383260  0.324627  0.351515
185  0.20   0.0100   0.350943  0.347015  0.348968
186  0.30   3.0000   0.373874  0.309701  0.338776
187  0.25  10.0000   0.409574  0.287313  0.337719
188  0.30   1.0000   0.361233  0.305970  0.331313
189  0.30   0.3000   0.361607  0.302239  0.329268
190  0.20   0.0300   0.352423  0.298507  0.323232
191  0.30  30.0000   0.341667  0.305970  0.322835
192  0.25   3.0000   0.371728  0.264925  0.309368
193  0.25   0.1000   0.371585  0.253731  0.301552
194  0.25   0.3000   0.369565  0.253731  0.300885
195  0.25   1.0000   0.363128  0.242537  0.290828
196  0.20   0.1000   0.369863  0.201493  0.260870
197  0.20   1.0000   0.360000  0.201493  0.258373
198  0.20   0.3000   0.376812  0.194030  0.256158
199  0.20   3.0000   0.348387  0.201493  0.255319
200  0.25  30.0000   0.331325  0.205224  0.253456
201  0.20  10.0000   0.370370  0.186567  0.248139
202  0.15   0.0300   0.365672  0.182836  0.243781
203  0.10   0.0100   0.312500  0.186567  0.233645
204  0.15   3.0000   0.392523  0.156716  0.224000
205  0.15   0.1000   0.375000  0.156716  0.221053
206  0.15   1.0000   0.375000  0.156716  0.221053
207  0.15  30.0000   0.312500  0.167910  0.218447
208  0.15   0.3000   0.369369  0.152985  0.216359
209  0.20  30.0000   0.312000  0.145522  0.198473
210  0.15  10.0000   0.322034  0.141791  0.196891
211  0.10   1.0000   0.444444  0.119403  0.188235
212  0.05  30.0000   0.330189  0.130597  0.187166
213  0.10  30.0000   0.309735  0.130597  0.183727
214  0.10   0.0030   0.442857  0.115672  0.183432
215  0.10   0.3000   0.430556  0.115672  0.182353
216  0.10   0.0300   0.424658  0.115672  0.181818
217  0.10   0.1000   0.418919  0.115672  0.181287
218  0.10  10.0000   0.303797  0.089552  0.138329
219  0.10   3.0000   0.323529  0.082090  0.130952
220  0.05  10.0000   0.313725  0.059701  0.100313
221  0.05   0.0300   0.416667  0.055970  0.098684
222  0.05   3.0000   0.350000  0.052239  0.090909
223  0.05   0.1000   0.393939  0.048507  0.086379
224  0.05   0.0030   0.375000  0.044776  0.080000
225  0.05   0.0100   0.354839  0.041045  0.073579
226  0.05   1.0000   0.354839  0.041045  0.073579
227  0.05   0.3000   0.357143  0.037313  0.067568
nu_gamma_f1: [0.8500000000000001, 0.003, 0.54229432213209738]
Confusion matrix:
Prediction   -1    1
Target              
-1          139  361
 1           34  234
Confusion matrix:
[[139 361]
 [ 34 234]]
precision: 0.393277310924, recall: 0.873134328358, f1-score: 0.542294322132

*** PROFILER RESULTS ***
incremental_ocsvm (evaluation_performance_1.py:185)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
cvxopt_ocsvm (evaluation_performance_1.py:181)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
sklearn_ocsvm (evaluation_performance_1.py:177)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)


