['evaluation_performance_1.py', 'haberman']
       nu    gamma  precision    recall        f1
93   0.70   0.0030   0.316832  0.395062  0.351648
94   0.70   0.0300   0.316832  0.395062  0.351648
95   0.45   1.0000   0.279412  0.469136  0.350230
96   0.60   0.0030   0.313725  0.395062  0.349727
97   0.60   0.0100   0.313725  0.395062  0.349727
98   0.60   0.0300   0.313725  0.395062  0.349727
99   0.45   0.3000   0.277372  0.469136  0.348624
100  0.90   0.0001   0.319588  0.382716  0.348315
101  0.55   0.0001   0.310680  0.395062  0.347826
102  0.60   0.0001   0.310680  0.395062  0.347826
103  0.60   0.0003   0.310680  0.395062  0.347826
104  0.60   0.0010   0.310680  0.395062  0.347826
105  0.65   0.0003   0.310680  0.395062  0.347826
106  0.65   0.0010   0.310680  0.395062  0.347826
107  0.65   0.0030   0.310680  0.395062  0.347826
108  0.65   0.0100   0.310680  0.395062  0.347826
109  0.50   1.0000   0.270833  0.481481  0.346667
110  0.55   0.0300   0.300000  0.407407  0.345550
111  0.45  10.0000   0.281250  0.444444  0.344498
112  0.35   1.0000   0.313131  0.382716  0.344444
113  0.50   0.0001   0.304762  0.395062  0.344086
114  0.50   0.0030   0.304762  0.395062  0.344086
115  0.50   0.0100   0.304762  0.395062  0.344086
116  0.50   0.0300   0.304762  0.395062  0.344086
117  0.55   0.0003   0.304762  0.395062  0.344086
118  0.55   0.0010   0.304762  0.395062  0.344086
119  0.55   0.0030   0.304762  0.395062  0.344086
120  0.55   0.0100   0.304762  0.395062  0.344086
121  0.40  30.0000   0.297297  0.407407  0.343750
122  0.45   0.0100   0.297297  0.407407  0.343750
123  0.45   0.0300   0.297297  0.407407  0.343750
124  0.45   0.1000   0.297297  0.407407  0.343750
125  0.30  30.0000   0.341463  0.345679  0.343558
126  0.40  10.0000   0.290598  0.419753  0.343434
127  0.35  10.0000   0.319149  0.370370  0.342857
128  0.35   0.1000   0.301887  0.395062  0.342246
129  0.50   0.0003   0.301887  0.395062  0.342246
130  0.50   0.0010   0.301887  0.395062  0.342246
131  0.40   3.0000   0.294643  0.407407  0.341969
132  0.80   0.1000   0.294643  0.407407  0.341969
133  0.40   0.3000   0.272059  0.456790  0.341014
134  0.35   0.0001   0.299065  0.395062  0.340426
135  0.35   0.0003   0.299065  0.395062  0.340426
136  0.35   0.0010   0.299065  0.395062  0.340426
137  0.35   0.0030   0.299065  0.395062  0.340426
138  0.35   0.0300   0.299065  0.395062  0.340426
139  0.40   0.0003   0.299065  0.395062  0.340426
140  0.40   0.0010   0.299065  0.395062  0.340426
141  0.40   0.0030   0.299065  0.395062  0.340426
142  0.40   0.0100   0.299065  0.395062  0.340426
143  0.40   0.0300   0.299065  0.395062  0.340426
144  0.45   0.0003   0.299065  0.395062  0.340426
145  0.45   0.0010   0.299065  0.395062  0.340426
146  0.45   0.0030   0.299065  0.395062  0.340426
147  0.70   0.0100   0.299065  0.395062  0.340426
148  0.60   0.1000   0.274809  0.444444  0.339623
149  0.40   0.0001   0.296296  0.395062  0.338624
150  0.40   0.1000   0.296296  0.395062  0.338624
151  0.65   0.0300   0.296296  0.395062  0.338624
152  0.40   1.0000   0.289474  0.407407  0.338462
153  0.55   0.1000   0.283333  0.419753  0.338308
154  0.25  30.0000   0.356164  0.320988  0.337662
155  0.30   3.0000   0.329412  0.345679  0.337349
156  0.30   0.3000   0.337500  0.333333  0.335404
157  0.30   1.0000   0.325581  0.345679  0.335329
158  0.45   0.0001   0.295238  0.382716  0.333333
159  0.25   0.0001   0.285714  0.395062  0.331606
160  0.30   0.0001   0.285714  0.395062  0.331606
161  0.30   0.0003   0.285714  0.395062  0.331606
162  0.30   0.0010   0.285714  0.395062  0.331606
163  0.30   0.0030   0.285714  0.395062  0.331606
164  0.15   0.0300   0.300000  0.370370  0.331492
165  0.20   0.0100   0.329268  0.333333  0.331288
166  0.25  10.0000   0.357143  0.308642  0.331126
167  0.15   0.0001   0.283186  0.395062  0.329897
168  0.15   0.0003   0.283186  0.395062  0.329897
169  0.15   0.0010   0.283186  0.395062  0.329897
170  0.15   0.0030   0.283186  0.395062  0.329897
171  0.30  10.0000   0.325301  0.333333  0.329268
172  0.35   0.3000   0.269841  0.419753  0.328502
173  0.20   0.0001   0.280702  0.395062  0.328205
174  0.20   0.0003   0.280702  0.395062  0.328205
175  0.20   0.0010   0.280702  0.395062  0.328205
176  0.20   0.0030   0.280702  0.395062  0.328205
177  0.25   0.0003   0.280702  0.395062  0.328205
178  0.25   0.0010   0.280702  0.395062  0.328205
179  0.25   0.0030   0.280702  0.395062  0.328205
180  0.25   0.0100   0.280702  0.395062  0.328205
181  0.25   0.0300   0.280702  0.395062  0.328205
182  0.30   0.1000   0.280702  0.395062  0.328205
183  0.30   0.0100   0.270492  0.407407  0.325123
184  0.35   0.0100   0.273504  0.395062  0.323232
185  0.30   0.0300   0.268908  0.395062  0.320000
186  0.15   0.0100   0.264463  0.395062  0.316832
187  0.25   0.3000   0.324675  0.308642  0.316456
188  0.20  30.0000   0.403846  0.259259  0.315789
189  0.25   0.1000   0.262295  0.395062  0.315271
190  0.10   0.0003   0.267857  0.370370  0.310881
191  0.10   0.0010   0.267857  0.370370  0.310881
192  0.10   0.0030   0.267857  0.370370  0.310881
193  0.10   0.0001   0.265487  0.370370  0.309278
194  0.20  10.0000   0.375000  0.259259  0.306569
195  0.10   0.0100   0.256410  0.370370  0.303030
196  0.25   3.0000   0.323944  0.283951  0.302632
197  0.20   0.0300   0.344262  0.259259  0.295775
198  0.15  30.0000   0.395833  0.234568  0.294574
199  0.25   1.0000   0.318841  0.271605  0.293333
200  0.05   0.0001   0.247706  0.333333  0.284211
201  0.05   0.0003   0.243243  0.333333  0.281250
202  0.05   0.0010   0.241071  0.333333  0.279793
203  0.20   3.0000   0.333333  0.222222  0.266667
204  0.20   0.1000   0.333333  0.209877  0.257576
205  0.20   0.3000   0.333333  0.209877  0.257576
206  0.20   1.0000   0.314815  0.209877  0.251852
207  0.15   0.1000   0.333333  0.197531  0.248062
208  0.15  10.0000   0.375000  0.185185  0.247934
209  0.15   0.3000   0.340909  0.185185  0.240000
210  0.15   1.0000   0.340909  0.185185  0.240000
211  0.15   3.0000   0.368421  0.172840  0.235294
212  0.05   0.0030   0.300000  0.148148  0.198347
213  0.10  10.0000   0.357143  0.123457  0.183486
214  0.10   0.0300   0.344828  0.123457  0.181818
215  0.10   0.1000   0.360000  0.111111  0.169811
216  0.10   0.3000   0.360000  0.111111  0.169811
217  0.10  30.0000   0.360000  0.111111  0.169811
218  0.10   3.0000   0.346154  0.111111  0.168224
219  0.10   1.0000   0.321429  0.111111  0.165138
220  0.05   0.0100   0.333333  0.086420  0.137255
221  0.05  30.0000   0.416667  0.061728  0.107527
222  0.05  10.0000   0.384615  0.061728  0.106383
223  0.05   1.0000   0.333333  0.061728  0.104167
224  0.05   3.0000   0.333333  0.061728  0.104167
225  0.05   0.0300   0.307692  0.049383  0.085106
226  0.05   0.1000   0.307692  0.049383  0.085106
227  0.05   0.3000   0.285714  0.049383  0.084211
nu_gamma_f1: [0.65, 30, 0.42142857142857143]
Confusion matrix:
Prediction  -1    1
Target             
-1          85  140
 1          22   59
Confusion matrix:
[[ 85 140]
 [ 22  59]]
precision: 0.29648241206, recall: 0.728395061728, f1-score: 0.421428571429

*** PROFILER RESULTS ***
incremental_ocsvm (evaluation_performance_1.py:185)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
cvxopt_ocsvm (evaluation_performance_1.py:181)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)



*** PROFILER RESULTS ***
sklearn_ocsvm (evaluation_performance_1.py:177)
function called 0 times

         0 function calls in 0.000 seconds

   Ordered by: cumulative time, internal time, call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        0    0.000             0.000          profile:0(profiler)


